Rk,Team,Year,Playoff Wins,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,O_MP,O_FG,O_FGA,O_FG%,O_3P,O_3PA,O_3P%,O_2P,O_2PA,O_2P%,O_FT,O_FTA,O_FT%,O_ORB,O_DRB,O_TRB,O_AST,O_STL,O_BLK,O_TOV,O_PF,O_PTS,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,Pace,FTr,3PAr,eFG%,TOV%,ORB%,FT/FGA,O_eFG%,O_TOV%,DRB%,O_FT/FGA,Arena,Attendance
15,Orlando Magic,2007,0,22,25,30,4,27,28,13,10,18,9,8,6,28,15,19,16,29,21,9,29,21,27,5,1,1,3,9,10,9,1,2,4,26,26,23,11,1,2,6,27,14,16,7,7,16,16,11,11,11,27,11,21,6,25,1,28,13,30,4,5,6,8,13,29,Amway Arena,18
16,Miami Heat,2007,0,14,21,29,10,11,8,27,26,28,5,30,20,30,24,6,14,18,21,5,10,8,28,14,9,16,5,21,22,13,5,5,7,10,10,7,16,16,17,10,7,3,21,18,8,11,11,17,17,17,24,18,24,8,25,16,7,6,15,25,25,8,21,14,9,AmericanAirlines Arena,5
1,Boston Celtics,2008,16,22,19,30,4,8,12,5,24,29,5,8,9,8,23,9,12,8,5,18,27,26,11,7,1,3,1,6,17,1,1,2,2,21,22,4,12,2,2,2,12,14,3,8,2,1,1,1,1,1,30,1,9,1,19,5,9,5,29,17,3,1,1,8,23,TD Banknorth Garden,12
2,Los Angeles Lakers,2008,14,18,5,6,3,5,6,6,9,21,4,3,4,10,17,1,4,4,6,5,11,13,4,10,22,26,6,18,17,15,21,27,6,13,12,12,26,14,21,14,21,12,10,5,19,3,3,3,3,3,13,2,3,5,6,9,6,4,9,19,8,7,16,15,9,STAPLES Center,11
3,Detroit Pistons,2008,10,25,17,20,13,22,22,13,15,12,16,18,22,13,10,25,21,10,17,3,1,13,16,2,2,1,3,1,3,2,2,8,3,14,14,5,6,4,3,5,3,3,18,25,1,2,2,2,2,2,29,4,6,4,30,16,22,15,1,6,12,3,13,12,19,The Palace of Auburn Hills,1
4,San Antonio Spurs,2008,9,25,25,28,14,9,10,11,27,28,13,26,27,15,27,9,23,20,24,24,4,1,27,2,3,4,5,3,3,3,8,17,5,2,2,18,1,17,5,1,9,8,27,24,3,4,4,7,7,8,7,7,15,3,28,24,8,10,7,25,24,5,20,1,4,AT&T Center,13
5,New Orleans Hornets,2008,7,14,6,8,8,6,8,3,12,15,10,29,28,10,14,14,16,13,8,28,3,1,9,14,15,16,16,15,20,6,15,11,21,1,1,27,2,18,10,12,1,4,14,28,5,4,4,5,5,6,8,5,5,7,26,28,11,6,1,13,29,15,10,3,1,New Orleans Arena,26
6,Cleveland Cavaliers,2008,7,5,25,14,27,14,13,15,24,16,27,21,15,28,1,11,1,24,17,6,10,16,24,23,7,5,11,8,8,10,8,10,13,17,16,7,2,12,7,9,8,14,23,19,9,13,13,15,15,16,22,16,19,11,22,15,12,26,12,2,20,10,16,2,18,Quicken Loans Arena,3
7,Utah Jazz,2008,6,30,4,18,2,26,26,10,1,5,2,3,2,16,13,26,24,2,3,22,18,30,5,1,5,2,17,8,8,10,4,3,19,29,30,8,5,1,1,7,16,21,4,2,13,8,8,3,3,4,17,3,1,12,10,3,27,3,18,5,4,15,3,9,30,EnergySolutions Arena,5
8,Orlando Magic,2008,5,18,11,26,5,1,2,4,30,30,3,9,3,27,27,5,12,22,27,24,12,13,6,10,16,24,7,11,10,13,18,23,6,12,11,15,12,14,15,10,11,6,25,2,11,9,9,5,5,5,28,9,7,5,9,2,1,2,18,25,8,6,24,6,12,Amway Arena,18
9,Atlanta Hawks,2008,3,5,22,20,15,27,28,17,8,6,21,5,7,7,7,21,11,12,14,4,24,10,15,23,19,21,21,8,7,15,22,21,16,10,10,12,24,5,11,20,16,21,15,9,14,19,19,19,19,19,25,20,16,18,18,7,28,21,24,4,6,15,16,26,12,Philips Arena,20
10,Washington Wizards,2008,2,1,19,16,22,11,9,17,22,20,18,12,19,5,7,27,18,27,9,15,7,5,14,29,13,9,17,30,30,29,3,1,16,9,7,15,12,11,12,27,5,8,12,21,12,14,14,15,15,15,24,17,12,24,27,18,10,18,6,8,11,26,10,20,12,Verizon Center,15
11,Houston Rockets,2008,2,25,17,14,20,10,7,26,21,24,14,27,25,25,9,6,1,15,14,8,9,5,22,2,3,15,2,4,2,19,7,23,1,7,9,2,10,7,8,3,18,13,23,25,4,6,6,7,7,9,11,8,17,2,20,24,7,16,11,7,27,2,20,6,9,Toyota Center,16
12,Philadelphia 76ers,2008,2,22,11,17,11,30,29,30,3,2,15,18,10,30,2,28,14,23,3,10,12,7,23,7,11,8,17,18,20,14,10,5,20,3,3,28,18,3,4,23,7,21,6,18,7,17,17,14,14,14,23,14,18,8,20,11,29,22,13,1,15,20,2,23,6,Wachovia Center,23
13,Phoenix Suns,2008,1,18,2,9,1,4,5,1,5,22,1,13,20,4,30,4,20,1,22,2,14,8,3,10,29,30,12,5,5,7,30,30,10,7,7,8,30,12,25,6,14,2,20,15,25,6,6,9,9,7,13,6,2,16,4,21,5,1,13,29,14,8,29,29,2,US Airways Center,14
14,Dallas Mavericks,2008,1,25,15,24,9,19,19,20,12,18,8,7,14,1,21,7,8,20,29,10,4,22,12,2,6,11,4,1,1,4,15,22,3,23,23,21,9,6,5,3,5,8,30,13,6,10,10,9,9,10,10,10,8,9,22,12,19,12,5,16,7,4,30,4,22,American Airlines Center,4
15,Toronto Raptors,2008,1,9,7,13,7,11,14,2,10,11,11,27,30,2,26,14,27,5,19,24,1,4,13,18,12,13,15,28,28,20,4,4,16,4,4,30,4,21,13,14,1,5,12,29,10,15,15,12,12,12,26,12,9,13,22,30,17,7,1,25,27,21,10,4,6,Air Canada Centre,9
16,Denver Nuggets,2008,0,5,3,2,6,13,10,19,4,7,7,1,1,19,15,2,4,3,1,1,20,17,2,23,28,29,14,29,29,17,28,29,15,11,13,1,28,27,28,30,23,17,2,1,29,11,11,11,11,11,16,11,11,10,1,1,13,9,9,21,2,14,6,22,5,Pepsi Center,17
1,Los Angeles Lakers,2009,16,21,2,4,4,14,15,19,2,6,3,10,8,14,3,6,1,2,1,10,11,16,3,8,18,24,6,21,28,3,12,16,10,8,11,2,24,11,19,26,20,14,4,8,13,2,2,2,2,2,30,3,3,6,5,18,17,5,5,3,20,8,6,17,6,STAPLES Center,8
2,Orlando Magic,2009,13,27,26,26,14,1,2,6,30,30,7,10,4,30,27,1,3,29,20,6,12,9,10,3,9,20,3,2,3,2,16,29,1,6,8,3,8,25,24,1,9,2,25,6,6,4,4,4,4,4,21,4,11,1,12,3,1,3,19,28,6,1,25,2,4,Amway Arena,18
3,Denver Nuggets,2009,10,27,10,22,5,14,17,13,14,18,5,1,1,20,15,11,15,6,3,2,24,26,6,3,11,18,4,26,27,14,8,13,4,25,24,24,26,7,15,19,23,27,5,2,18,5,5,8,8,8,24,8,7,8,5,1,14,7,24,15,1,5,7,22,25,Pepsi Center,17
4,Cleveland Cavaliers,2009,10,21,14,24,6,3,5,2,24,29,7,18,15,21,18,8,7,19,15,7,5,9,13,8,2,10,1,5,12,1,3,10,3,10,9,15,12,4,3,4,3,4,16,20,1,1,1,1,1,1,22,1,4,3,25,11,4,4,6,10,14,2,10,8,11,Quicken Loans Arena,4
5,Boston Celtics,2009,7,7,9,28,2,18,21,1,13,20,2,12,10,17,20,6,8,4,7,17,27,27,11,21,1,9,1,8,13,5,1,9,1,20,21,17,6,2,2,3,12,12,9,7,3,3,3,2,2,3,19,2,5,2,18,8,19,2,29,7,6,3,9,3,23,TD Banknorth Garden,12
6,Houston Rockets,2009,7,14,23,21,22,6,6,10,27,24,16,15,21,5,22,2,4,19,25,24,14,1,17,11,13,17,5,4,3,11,18,27,5,2,2,1,10,9,6,8,13,22,28,15,6,8,8,6,6,6,23,6,14,4,19,20,5,13,21,17,16,4,28,4,2,Toyota Center,16
7,Dallas Mavericks,2009,5,14,7,6,9,12,7,25,12,16,6,20,26,2,13,5,5,8,15,9,5,4,9,11,19,19,12,9,6,19,21,22,8,15,10,29,14,18,17,6,13,4,26,22,15,9,9,10,10,10,25,11,5,17,16,27,10,9,3,16,22,9,25,8,10,American Airlines Center,5
8,Atlanta Hawks,2009,4,29,24,24,11,8,7,15,25,26,10,15,9,28,20,21,23,23,11,19,7,5,19,1,15,16,10,10,16,7,13,15,15,4,6,13,22,14,21,13,7,8,19,17,10,12,12,11,11,12,11,10,10,11,24,9,6,9,6,19,13,11,12,24,5,Philips Arena,20
9,Chicago Bulls,2009,3,2,7,5,14,22,23,6,7,3,23,7,14,7,7,15,8,13,8,4,19,18,8,28,21,26,14,5,7,4,25,28,18,21,19,27,28,15,25,14,18,27,12,14,21,15,15,16,16,16,14,16,14,18,9,17,24,21,17,6,11,9,15,28,18,United Center,2
10,Miami Heat,2009,3,1,13,15,14,10,7,22,17,19,12,27,24,23,26,21,28,17,5,4,3,16,18,30,8,8,12,25,18,28,5,7,9,19,20,17,16,21,21,10,5,4,6,26,12,14,14,14,14,14,7,14,20,11,22,23,8,16,3,24,26,16,4,19,21,AmericanAirlines Arena,15
11,Portland Trail Blazers,2009,2,11,15,23,8,8,12,4,19,22,10,20,16,17,1,27,12,19,25,13,8,12,14,18,7,2,17,5,5,18,9,11,12,7,4,30,2,1,1,5,3,3,24,12,4,5,5,5,5,5,28,5,1,13,30,14,12,8,6,1,17,14,12,5,12,Rose Garden Arena,3
12,Philadelphia 76ers,2009,2,24,18,18,10,29,29,30,6,6,14,6,6,25,2,28,17,24,4,10,14,6,22,5,13,11,18,21,23,16,9,7,21,5,5,24,20,3,5,23,11,16,3,9,11,15,15,15,15,15,15,15,19,13,21,4,29,24,19,2,4,19,3,25,8,Wachovia Center,23
13,Utah Jazz,2009,1,7,6,16,3,26,26,26,3,4,4,3,3,13,11,19,18,1,1,19,22,23,7,21,16,12,20,12,14,12,14,12,22,24,24,11,18,7,9,9,25,20,2,1,18,11,11,9,9,9,27,9,8,10,9,2,27,9,21,5,2,18,2,20,26,EnergySolutions Arena,6
14,San Antonio Spurs,2009,1,4,12,18,7,6,10,3,19,23,9,30,30,19,30,4,18,10,30,27,1,1,23,25,12,14,9,3,1,24,18,24,6,1,1,13,1,24,10,1,7,8,30,30,2,5,5,7,7,7,29,7,13,5,26,30,7,5,1,30,30,7,29,1,1,AT&T Center,14
15,New Orleans Hornets,2009,1,24,28,27,14,13,14,17,26,25,13,25,28,3,28,16,26,28,15,26,3,9,26,5,3,3,7,19,24,8,2,1,15,8,7,19,4,13,8,10,2,1,21,19,5,10,10,11,11,13,20,13,12,9,28,22,11,13,6,24,18,12,12,7,16,New Orleans Arena,19
16,Detroit Pistons,2009,0,4,21,17,20,28,28,26,8,5,22,28,27,24,9,16,16,16,29,19,2,19,28,25,5,5,8,1,2,8,11,18,7,18,17,20,8,12,10,10,1,7,29,27,8,17,17,16,16,17,11,17,21,16,29,23,28,25,1,7,26,5,29,11,20,The Palace of Auburn Hills,1
1,Los Angeles Lakers,2010,16,12,9,7,18,13,10,23,10,13,13,17,17,12,3,4,2,15,11,15,6,3,12,17,13,23,5,11,24,1,13,16,11,2,2,7,15,19,18,21,10,7,18,12,9,3,3,5,5,6,10,5,11,4,14,19,12,15,5,7,18,6,18,9,2,STAPLES Center,7
2,Boston Celtics,2010,15,17,21,30,4,16,16,17,19,27,1,14,10,21,30,23,29,2,2,15,21,22,19,7,3,4,9,3,5,4,5,6,11,21,23,5,9,8,9,4,10,14,2,8,5,9,9,8,8,9,26,10,15,5,21,7,11,5,27,28,6,9,2,12,24,TD Garden,9
3,Phoenix Suns,2010,10,26,1,13,1,3,6,1,12,24,3,5,8,11,14,6,6,4,29,11,20,16,1,3,24,30,11,22,24,17,22,30,9,21,21,17,29,6,19,14,26,11,25,7,26,5,5,5,5,5,25,6,1,23,4,11,5,1,17,7,10,11,30,29,16,US Airways Center,16
4,Orlando Magic,2010,10,26,24,27,7,1,1,3,30,30,2,10,7,29,25,1,5,25,27,4,14,7,6,3,7,16,1,12,11,21,7,20,1,3,3,9,3,14,8,2,5,1,27,4,4,2,2,1,1,1,30,1,4,3,18,4,1,2,17,25,7,1,26,1,3,Amway Arena,17
5,Cleveland Cavaliers,2010,6,17,15,28,3,8,8,2,21,28,3,12,5,30,27,3,11,5,21,10,11,3,9,7,6,11,3,12,15,10,5,9,3,11,11,15,2,3,2,10,4,2,28,14,5,1,1,2,2,2,29,2,6,6,24,3,7,3,16,21,7,3,24,2,13,Quicken Loans Arena,2
6,Utah Jazz,2010,4,25,3,23,2,23,25,7,2,9,5,3,2,23,20,9,12,1,4,15,26,29,4,6,4,6,8,20,22,15,2,4,10,28,28,19,7,4,3,8,23,25,5,4,12,6,6,3,3,3,15,3,8,10,9,4,24,4,26,13,4,13,5,5,30,EnergySolutions Arena,6
7,Atlanta Hawks,2010,4,10,6,12,10,14,15,9,8,11,11,20,23,15,5,23,17,11,15,14,1,7,12,20,13,10,16,5,6,9,15,14,16,3,6,3,18,12,15,17,2,7,20,28,9,6,6,5,5,7,24,7,2,13,27,24,18,11,1,4,23,16,18,24,8,Philips Arena,18
8,San Antonio Spurs,2010,4,17,8,18,6,10,11,11,14,20,7,19,18,24,17,5,9,7,26,22,10,13,15,7,11,13,11,1,1,6,20,28,5,10,9,13,5,10,5,3,7,19,30,19,8,9,9,3,3,4,16,4,9,8,19,14,9,7,11,13,20,4,28,4,10,AT&T Center,10
9,Milwaukee Bucks,2010,3,1,20,2,29,5,5,12,26,17,29,30,29,17,5,11,6,14,16,20,4,23,22,30,2,3,9,2,2,6,7,8,8,26,27,23,1,27,23,4,10,19,3,20,7,14,14,14,14,14,28,14,23,2,19,30,6,25,3,18,30,8,4,3,29,Bradley Center,23
10,Denver Nuggets,2010,2,17,12,17,10,12,12,10,15,18,9,1,1,9,17,16,20,17,3,11,11,27,3,7,16,17,14,12,14,13,15,17,14,27,26,27,26,17,19,17,10,23,5,1,20,6,6,8,8,8,10,8,3,16,5,1,12,9,6,19,1,14,9,25,24,Pepsi Center,13
11,Dallas Mavericks,2010,2,5,9,14,12,10,13,5,15,15,15,16,25,1,23,10,17,3,9,6,3,1,11,22,17,19,15,12,16,10,17,19,15,7,4,16,18,22,25,9,7,4,10,21,15,4,4,12,12,12,19,12,10,12,17,26,14,11,3,26,15,14,11,15,6,American Airlines Center,4
12,Oklahoma City Thunder,2010,2,15,19,20,14,25,23,25,9,7,17,2,3,2,9,8,3,23,6,1,23,20,14,15,10,14,6,5,10,3,12,20,5,18,17,21,23,6,10,7,20,14,5,10,11,9,9,10,10,10,10,9,12,9,11,6,23,18,24,3,2,4,7,16,17,Oklahoma City Arena,12
13,Portland Trail Blazers,2010,2,10,27,26,15,17,19,13,23,23,17,9,12,3,14,28,26,21,25,24,2,16,21,20,7,2,18,5,8,6,10,5,20,6,8,3,3,1,1,4,1,4,23,9,3,9,9,10,10,11,21,11,7,15,30,10,17,14,2,4,5,17,15,7,14,Rose Garden Arena,3
14,Chicago Bulls,2010,1,2,17,10,23,29,29,28,3,2,25,18,20,18,12,2,1,19,23,2,15,11,24,27,12,26,3,27,28,12,9,12,4,13,14,2,18,22,22,15,10,23,24,24,13,17,17,18,18,18,14,18,27,11,11,20,29,28,15,16,21,6,24,7,9,United Center,1
15,Miami Heat,2010,1,5,26,25,17,17,17,19,22,21,20,20,21,19,19,13,14,28,12,4,4,16,25,22,1,5,2,12,20,4,1,3,2,19,19,9,8,14,10,1,3,6,12,24,2,13,13,13,13,13,26,13,19,6,28,14,16,15,9,19,17,2,8,6,22,AmericanAirlines Arena,15
16,Charlotte Bobcats,2010,0,5,29,29,22,22,22,19,27,25,22,4,5,20,21,18,22,22,8,7,28,5,28,22,5,7,6,25,30,2,2,2,13,1,1,1,9,4,6,10,20,28,3,6,1,15,15,15,15,15,22,15,24,1,26,2,19,24,30,17,3,11,3,10,1,Time Warner Cable Arena,22
1,Dallas Mavericks,2011,16,29,13,24,4,8,5,11,25,29,1,24,25,8,28,6,14,1,23,23,12,4,11,1,11,15,8,10,16,7,13,12,10,3,5,4,14,12,12,10,23,2,23,23,10,4,4,8,8,8,11,8,8,7,17,21,3,3,21,26,18,9,17,7,3,American Airlines Center,4
2,Miami Heat,2011,14,20,19,29,2,11,15,7,18,27,2,3,3,12,26,2,9,26,25,9,11,14,8,5,5,13,2,18,21,9,1,7,4,10,16,2,8,2,2,4,9,1,27,4,6,3,3,1,1,1,29,1,3,5,20,2,10,4,17,19,3,3,26,4,11,AmericanAirlines Arena,5
3,Oklahoma City Thunder,2011,9,1,13,17,10,18,19,19,9,12,9,1,2,1,15,8,7,23,5,2,15,28,5,28,19,21,15,8,6,18,24,28,10,20,21,2,23,6,10,13,14,6,16,6,18,7,7,9,9,9,16,9,5,15,13,2,19,12,11,10,1,11,19,17,13,Chesapeake Energy Arena,13
4,Chicago Bulls,2011,9,12,18,22,12,15,17,13,12,14,16,14,11,26,6,3,2,9,17,5,17,8,19,14,2,9,1,1,4,1,5,19,1,9,7,15,4,1,1,2,5,26,14,23,2,1,1,1,1,2,30,2,11,1,22,9,18,12,17,4,14,1,11,2,10,United Center,1
5,Memphis Grizzlies,2011,7,6,3,8,6,30,30,27,1,1,15,17,14,23,6,24,16,21,1,7,12,17,12,22,9,7,13,27,23,24,5,5,13,11,12,11,18,3,8,14,19,30,1,7,13,11,11,10,10,10,9,10,16,9,15,18,30,19,9,6,20,18,1,21,13,FedEx Forum,27
6,Atlanta Hawks,2011,6,28,23,25,12,17,16,17,21,23,10,29,29,6,29,20,27,12,29,27,9,1,26,3,13,10,18,5,8,4,15,13,17,4,3,25,5,16,10,16,3,5,29,29,9,13,13,16,16,16,23,18,20,13,27,29,15,12,17,29,27,12,29,10,4,Philips Arena,22
7,Boston Celtics,2011,5,20,20,30,1,26,28,11,7,20,3,20,21,10,30,13,29,4,3,27,22,15,23,5,1,4,2,3,2,5,2,9,2,13,16,8,8,3,4,1,9,9,5,22,1,6,6,4,4,6,27,6,18,1,22,9,27,7,28,30,8,2,3,9,19,TD Garden,11
8,Los Angeles Lakers,2011,4,12,10,11,11,12,14,17,8,11,10,10,17,6,4,6,3,12,14,10,5,1,9,14,13,27,5,19,28,3,11,20,5,1,1,16,29,7,19,22,11,11,23,17,8,4,4,3,3,3,20,3,6,6,21,16,16,11,1,5,13,5,21,22,1,STAPLES Center,8
9,San Antonio Spurs,2011,2,20,5,16,4,4,7,1,22,26,7,11,14,14,23,9,12,8,14,18,6,1,6,5,19,24,12,7,2,21,25,29,8,2,2,17,16,17,16,8,5,12,26,17,14,2,2,5,5,4,12,4,2,11,14,13,6,1,7,21,12,10,26,10,2,AT&T Center,12
10,Orlando Magic,2011,2,12,24,26,14,1,1,10,30,30,4,21,5,30,17,1,6,26,24,16,25,8,16,14,4,11,4,13,16,10,4,10,3,8,10,1,2,11,6,4,17,3,17,4,4,8,8,5,5,5,27,5,14,3,18,5,1,6,26,15,14,3,14,1,7,Amway Center,9
11,Portland Trail Blazers,2011,2,18,24,19,24,13,12,21,24,21,23,18,28,3,4,30,27,16,5,20,1,5,24,12,7,1,20,15,13,21,5,2,22,6,6,19,11,3,6,3,5,4,4,10,7,10,10,12,12,12,8,12,10,14,30,27,12,22,5,3,17,22,2,24,16,Rose Garden Arena,2
12,New Orleans Hornets,2011,2,12,26,26,18,22,25,14,14,13,20,21,21,15,24,18,24,21,8,20,1,18,27,14,6,2,13,19,19,12,2,1,16,5,4,21,1,12,3,15,1,16,10,20,5,11,11,14,14,14,5,13,18,10,29,15,21,19,7,20,16,17,6,2,9,New Orleans Arena,26
13,Denver Nuggets,2011,1,29,5,17,3,7,8,3,18,25,5,2,1,15,26,5,11,10,12,23,15,18,1,1,21,26,16,23,29,8,19,15,20,19,19,8,8,19,18,20,19,27,20,1,21,9,9,7,7,7,15,7,1,16,2,1,7,2,11,27,2,14,24,5,12,Pepsi Center,16
14,Indiana Pacers,2011,1,20,22,9,26,10,9,16,26,17,25,6,10,5,13,3,5,28,19,6,27,22,13,5,17,23,7,10,11,16,16,24,6,23,23,4,23,25,25,7,19,24,17,7,17,19,19,18,18,19,24,19,23,12,6,12,9,22,24,17,8,7,21,15,22,Conseco Fieldhouse,30
15,Philadelphia 76ers,2011,1,4,10,10,14,22,24,15,4,5,18,25,25,10,19,10,13,6,8,23,1,6,18,26,11,14,9,6,9,5,14,23,9,18,18,24,14,23,22,17,11,12,13,27,12,16,16,13,13,13,26,14,17,7,16,28,25,18,1,23,26,7,12,12,16,Wells Fargo Center,25
16,New York Knicks,2011,0,20,7,6,19,2,2,8,27,28,8,4,6,2,21,18,19,15,8,4,10,21,2,5,27,25,25,15,13,25,27,26,23,24,24,13,26,28,28,8,11,9,6,16,27,15,15,15,15,15,24,15,7,22,2,11,2,8,5,24,4,23,8,26,23,Madison Square Garden (IV),6
1,Miami Heat,2012,16,6,12,26,4,20,23,9,5,14,4,6,8,7,24,12,21,20,3,9,21,14,7,24,6,8,5,29,27,25,1,5,5,8,11,1,9,3,1,8,26,3,3,8,4,4,4,3,3,4,19,4,8,4,15,4,21,5,23,18,4,8,3,10,11,AmericanAirlines Arena,4
2,Oklahoma City Thunder,2012,13,8,11,25,3,9,12,11,15,27,2,1,2,1,19,3,5,30,16,1,30,23,3,22,15,28,3,14,17,9,16,26,4,22,20,28,29,1,12,9,25,13,19,11,17,3,3,4,4,3,11,3,2,10,6,1,9,2,30,10,1,4,23,23,16,Chesapeake Energy Arena,13
3,Boston Celtics,2012,11,16,23,30,5,21,24,7,16,16,9,24,27,5,30,14,30,2,16,5,17,18,26,9,1,7,1,2,3,1,4,15,2,18,19,22,21,21,21,1,15,8,5,24,2,10,10,9,9,11,18,12,25,1,21,22,24,10,25,30,17,2,4,20,19,TD Garden,11
4,San Antonio Spurs,2012,10,16,1,7,1,2,7,1,10,21,3,18,17,19,25,5,9,4,20,24,3,2,2,9,25,25,17,9,10,19,25,26,14,2,2,18,2,15,10,5,5,15,24,21,16,1,1,2,2,2,15,2,1,10,7,20,7,1,3,24,19,15,24,1,2,AT&T Center,12
5,Philadelphia 76ers,2012,7,23,9,5,15,24,25,8,4,3,25,30,30,21,22,6,7,10,11,12,1,4,22,6,3,11,3,3,2,6,10,20,3,6,6,14,4,29,25,5,1,11,21,30,3,16,16,5,5,5,26,5,20,3,24,30,25,19,1,25,30,3,19,4,8,Wells Fargo Center,14
6,Indiana Pacers,2012,6,8,21,16,24,19,22,6,19,11,28,2,3,3,6,9,4,29,15,9,5,28,13,22,8,12,6,20,22,16,4,9,6,24,25,2,24,11,16,5,3,27,10,4,10,5,5,6,6,7,27,9,7,9,19,3,21,23,7,5,2,6,11,21,22,Bankers Life Fieldhouse,29
7,Los Angeles Lakers,2012,5,3,14,21,7,21,19,25,8,13,6,8,9,16,8,1,2,6,30,11,19,1,15,26,22,30,9,20,25,14,22,28,7,1,1,6,19,7,9,23,28,8,30,10,15,6,6,13,13,13,5,13,10,13,20,9,18,13,19,6,8,6,30,5,1,STAPLES Center,8
8,Los Angeles Clippers,2012,4,10,13,17,10,4,5,12,21,26,7,21,10,29,8,27,21,13,6,20,2,25,14,16,4,1,14,26,22,27,2,1,12,27,27,8,6,5,1,16,2,5,16,5,13,8,8,9,9,10,14,7,4,18,26,11,5,7,2,4,19,20,8,14,28,STAPLES Center,7
9,Denver Nuggets,2012,3,6,2,15,2,15,13,23,3,17,1,3,1,25,16,7,8,1,9,16,25,17,1,24,27,26,23,30,30,30,12,11,19,7,6,20,14,6,5,27,18,30,6,1,28,11,11,9,9,9,13,6,3,20,2,2,12,2,18,12,3,26,7,8,4,Pepsi Center,16
10,Memphis Grizzlies,2012,3,16,16,12,16,27,28,25,2,2,21,10,12,13,5,22,16,24,1,12,14,18,20,9,4,3,11,12,13,11,4,4,12,20,22,25,9,8,7,4,15,22,1,18,5,6,6,12,12,12,7,10,19,7,18,13,28,24,15,3,10,11,1,19,25,FedEx Forum,20
11,Atlanta Hawks,2012,2,1,14,19,11,7,10,5,20,23,10,23,24,23,28,11,23,8,10,23,5,6,17,29,14,16,11,5,6,10,16,20,11,4,5,15,6,23,16,12,7,10,9,20,6,8,8,6,6,6,29,8,16,6,22,21,10,8,11,26,24,10,6,7,5,Philips Arena,23
12,Chicago Bulls,2012,2,16,9,7,12,17,18,3,12,8,18,27,23,27,1,2,1,5,24,3,5,2,18,9,6,19,2,1,1,3,14,30,1,3,3,4,17,1,3,2,5,19,26,28,1,1,1,1,1,1,28,1,5,2,28,24,20,14,8,1,26,1,26,8,3,United Center,1
13,New York Knicks,2012,1,16,20,20,17,4,2,21,27,29,8,7,7,22,15,17,18,18,2,26,29,24,11,9,10,6,10,20,20,23,7,6,9,22,24,3,8,16,14,2,24,18,2,2,11,13,13,6,6,8,30,11,17,5,5,6,2,11,27,18,6,11,2,12,23,Madison Square Garden (IV),5
14,Orlando Magic,2012,1,10,26,27,21,1,1,3,30,30,16,28,12,30,16,12,12,20,25,26,18,5,21,16,12,9,15,12,11,13,11,12,14,5,4,30,1,17,12,12,7,2,29,13,7,12,12,14,14,15,20,17,15,12,29,10,1,4,23,20,23,14,24,2,7,Amway Center,9
15,Utah Jazz,2012,0,1,3,4,9,28,29,27,1,1,12,5,4,17,3,14,3,11,7,4,11,29,4,29,15,13,18,16,22,7,13,10,22,29,29,16,9,9,10,12,7,23,13,7,23,13,13,16,16,16,12,15,6,19,12,8,29,17,5,2,6,22,15,11,28,EnergySolutions Arena,6
16,Dallas Mavericks,2012,0,3,19,14,17,7,4,20,24,25,10,22,26,9,27,3,11,14,4,14,5,8,19,26,11,17,6,28,29,12,7,7,8,11,11,12,9,28,26,12,29,1,13,24,12,13,13,14,14,14,1,14,22,8,12,27,4,15,11,28,25,8,13,5,14,American Airlines Center,3
1,Miami Heat,2013,16,5,5,30,1,3,6,2,19,28,1,12,9,16,28,15,30,7,3,9,4,8,5,24,5,10,5,20,24,11,4,5,9,8,7,27,19,5,5,5,16,1,5,9,5,1,1,2,2,2,30,2,2,9,23,8,5,1,12,26,6,9,4,23,13,AmericanAirlines Arena,3
2,San Antonio Spurs,2013,15,5,2,19,2,7,7,4,6,22,3,15,21,3,29,3,20,1,5,9,16,1,4,24,18,26,8,4,4,12,25,30,4,4,4,21,16,16,18,8,21,15,12,21,11,3,3,4,4,4,11,3,7,3,6,20,9,2,19,29,13,5,13,3,3,AT&T Center,10
3,Indiana Pacers,2013,11,12,29,24,26,16,15,22,27,20,24,7,8,19,3,5,1,27,22,4,23,14,23,19,2,16,1,1,2,1,7,27,1,8,8,21,19,8,8,2,9,20,24,3,2,8,8,8,7,8,29,9,19,1,25,9,11,22,26,4,7,1,26,5,10,Bankers Life Fieldhouse,25
4,Memphis Grizzlies,2013,8,17,23,17,21,30,30,24,2,1,25,16,16,9,3,24,11,24,4,12,5,16,26,10,1,1,3,3,6,2,2,4,3,7,10,11,3,4,1,4,6,19,6,13,1,5,5,6,6,7,13,6,17,2,30,17,30,28,8,2,16,3,2,9,20,FedEx Forum,19
5,Golden State Warriors,2013,6,17,6,9,10,8,13,1,16,14,18,13,16,4,21,1,2,15,27,27,23,29,7,10,14,25,4,27,29,7,8,12,9,24,24,11,16,20,19,24,21,15,24,19,19,10,10,11,11,12,6,11,11,14,4,22,14,10,19,21,17,8,28,1,22,Oracle Arena,5
6,New York Knicks,2013,6,27,19,15,15,1,1,4,30,30,11,21,20,13,18,25,25,30,11,30,1,15,11,1,5,2,18,25,25,14,3,1,23,17,16,16,1,19,10,3,1,3,11,19,7,7,7,7,7,6,27,7,3,18,26,20,1,7,1,19,21,22,4,4,23,Madison Square Garden (IV),7
